Issuer Name;Coupon;Maturity;ISIN;RIC;Date;Bid;Ask;TRBC Sector;Domicile;Currency;Coupon Type;Bond Grade;Par Value;Freq
Spain, Kingdom of (Government);6;31-ene-2029;ES0000011868;ES00001186=;21-nov-25;111,243;111,493;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Spain, Kingdom of (Government);5,15;31-oct-2028;ES00000124C5;ES0000124C=;21-nov-25;108,036;108,286;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Madrid, Community of;2,822;31-oct-2029;ES00001010J0;ES0001010J=;21-nov-25;101,216;101,217;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Madrid, Community of;3,362;31-oct-2028;ES00001010L6;ES0001010L=;22-nov-25;102,825;102,826;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Madrid, Community of;1,571;30-abr-2029;ES0000101909;ES00010190=;21-nov-25;97,204;97,205;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;2
Madrid, Community of;3,173;30-jul-2029;ES00001010P7;ES0001010P=;21-nov-25;102,395;102,396;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Andalucia, Autonomous Community of;1,375;30-abr-2029;ES0000090805;ES00009080=;21-nov-25;96,172;96,361;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Andalucia, Autonomous Community of;1,875;31-oct-2028;ES0000090797;ES00009079=;21-nov-25;98,262;98,439;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Basque, Autonomous Community of;1,125;30-abr-2029;ES0000106635;ES00010663=;21-nov-25;95,29;96,48;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;2
Catalonia, Autonomous Community of;5,325;05-oct-2028;ES0000095606;ES00009560=;21-nov-25;105,852;106,557;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;1000;1
Catalonia, Autonomous Community of;5,219;10-sep-2029;XS0449353332;ES044935333=;21-nov-25;105,808;107,808;Government & Government Finance (NEC);Spain;Euro;Plain Vanilla Fixed Coupon;Investment Grade;100;1
